Left_shoulder_Y_Coordinate,Right_shoulder_Y_Coordinate
-120.63999999999987,-120.85500000000002
-120.71500000000015,-115.125
-114.9849999999999,-122.30999999999995
-122.25499999999988,-129.4949999999999
-129.5250000000001,-120.91499999999996
-120.83500000000004,-129.3800000000001
-129.3800000000001,-123.48000000000002
-123.50999999999999,-132.04999999999995
-132.0999999999999,-130.78750000000014
-130.78750000000014,-129.5250000000001
-129.4749999999999,-129.365
-129.44499999999994,-135.07000000000016
-135.03999999999996,-129.6500000000001
-129.4000000000001,-135.35000000000014
