nose,neck,right_shoulder,right_elbow,right_wrist,left_shoulder,left_elbow,left_wrist,mid_hip,right_hip,right_knee,right_ankle,left_hip,left_knee,left_ankle,right_eye,left_eye,right_ear,left_ear,left_big_toe,left_small_toe,left_heel,right_big_toe,right_small_toe,right_heel
"(2137.59, 1331.25)","(2155.57, 1383.96)","(2143.8, 1384.02)","(2143.81, 1437.18)","(2126.02, 1431.26)","(2173.16, 1378.42)","(2231.79, 1431.03)","(2185.07, 1443.15)","(2173.18, 1507.82)","(2173.28, 1507.81)","(2214.31, 1613.91)","(2284.92, 1707.89)","(2173.05, 1507.93)","(2090.55, 1578.74)","(2143.76, 1672.86)","(2137.83, 1330.99)","(2138.11, 1325.23)","(nan, nan)","(2155.61, 1336.91)","(2120.21, 1708.12)","(2132.03, 1713.61)","(2161.43, 1678.51)","(2279.05, 1725.75)","(2284.93, 1719.93)","(2291.07, 1713.68)"
"(2114.24, 1331.05)","(2143.9, 1378.28)","(2137.75, 1383.86)","(2120.08, 1425.51)","(2084.98, 1390.05)","(2155.5, 1378.33)","(2226.19, 1425.27)","(2173.08, 1443.02)","(2143.81, 1501.86)","(2144.01, 1501.85)","(2191.03, 1602.01)","(2273.4, 1696.33)","(2143.73, 1501.86)","(2067.09, 1578.41)","(2114.33, 1672.76)","(2126.14, 1331.08)","(2131.71, 1313.65)","(nan, nan)","(2143.83, 1331.17)","(2078.85, 1713.8)","(2090.84, 1713.86)","(2132.07, 1673)","(2261.56, 1731.52)","(2273.35, 1720.02)","(2284.97, 1708.1)"
"(2102.5, 1325.25)","(2137.52, 1378.21)","(2108.49, 1383.85)","(2096.76, 1431.02)","(2084.74, 1401.91)","(2143.72, 1378.22)","(2202.58, 1431.11)","(2143.87, 1437.36)","(2132.09, 1502.05)","(2132.07, 1507.73)","(2184.92, 1601.96)","(2261.52, 1673.04)","(2132.05, 1501.97)","(2049.47, 1578.48)","(2061.45, 1690.33)","(2102.7, 1313.58)","(2114.39, 1313.52)","(nan, nan)","(2137.89, 1331.21)","(2037.64, 1713.78)","(2043.8, 1714.08)","(2084.79, 1707.89)","(2273.25, 1719.75)","(2279.11, 1713.92)","(2279.03, 1684.5)"
"(2090.66, 1331.23)","(2102.68, 1378.34)","(2090.81, 1378.26)","(2090.54, 1431.3)","(2061.42, 1413.56)","(2132.01, 1378.34)","(2184.84, 1431.03)","(2137.91, 1437.16)","(2102.56, 1502.02)","(2096.91, 1501.99)","(2167.24, 1602.09)","(2244.07, 1672.72)","(2108.48, 1507.82)","(2037.84, 1578.58)","(2043.53, 1690.32)","(2090.67, 1325.17)","(2096.59, 1325.22)","(nan, nan)","(2125.92, 1336.85)","(2002.71, 1707.96)","(2014.38, 1713.83)","(2049.45, 1707.92)","(2249.75, 1708.06)","(2255.6, 1702.07)","(2273.25, 1672.97)"
"(2055.49, 1331.13)","(2090.86, 1378.29)","(2073.14, 1383.97)","(2079.03, 1431.34)","(2043.75, 1425.49)","(2102.52, 1378.28)","(2149.75, 1425.51)","(2102.52, 1437.35)","(2090.84, 1496.12)","(2090.76, 1496.17)","(2143.52, 1596.24)","(2232.18, 1660.72)","(2090.95, 1496.11)","(2020.11, 1578.45)","(2002.51, 1690.49)","(2055.35, 1319.39)","(2073.08, 1319.41)","(nan, nan)","(2096.56, 1331.07)","(1967.06, 1713.62)","(1984.74, 1714.01)","(2008.49, 1708.15)","(2238.14, 1678.73)","(2238.21, 1672.81)","(2243.88, 1655.04)"
"(2043.55, 1325.34)","(2061.49, 1378.26)","(2049.64, 1378.41)","(2049.65, 1437.09)","(2020.09, 1419.43)","(2090.48, 1372.46)","(2137.77, 1431.06)","(2090.47, 1436.91)","(2067.3, 1496.19)","(2067.22, 1496.15)","(2114.4, 1613.68)","(2214.35, 1631.67)","(2073.18, 1496.22)","(2002.22, 1578.8)","(1996.31, 1702.02)","(2043.59, 1319.42)","(2049.41, 1313.52)","(nan, nan)","(2078.94, 1331.18)","(1955.14, 1713.6)","(1961.21, 1714.1)","(1996.65, 1713.73)","(2232.05, 1678.54)","(2232.05, 1672.62)","(2232, 1625.77)"
"(2020.15, 1331.01)","(2049.54, 1378.19)","(2037.81, 1378.24)","(2025.92, 1437.21)","(2002.2, 1419.61)","(2061.49, 1378.23)","(2131.79, 1431.43)","(2061.23, 1437.24)","(2049.47, 1507.84)","(2049.44, 1507.8)","(2096.52, 1608)","(2191.04, 1631.37)","(2049.64, 1507.92)","(1996.25, 1584.5)","(1961.46, 1707.82)","(2031.77, 1325.22)","(2037.67, 1319.33)","(nan, nan)","(2049.83, 1331.2)","(1931.79, 1708.05)","(1949.27, 1714)","(1978.84, 1713.91)","(2220.35, 1672.94)","(2214.29, 1672.67)","(2220.22, 1625.49)"
"(2002.49, 1325.23)","(2037.7, 1378.41)","(2008.52, 1383.85)","(2002.58, 1437.13)","(1978.77, 1419.6)","(2049.56, 1383.87)","(2096.62, 1437.41)","(2043.63, 1437.13)","(2037.71, 1507.84)","(2031.91, 1507.79)","(2061.43, 1619.71)","(2144, 1625.45)","(2043.35, 1507.89)","(1973.05, 1602.14)","(1955.08, 1713.66)","(2002.64, 1319.39)","(2008.51, 1307.8)","(nan, nan)","(2043.57, 1331.15)","(1914.1, 1713.7)","(1925.94, 1719.56)","(1955.47, 1719.6)","(2179.08, 1661.01)","(2173.05, 1655.07)","(2161.45, 1613.79)"
"(1990.46, 1331.21)","(2008.3, 1383.9)","(1996.4, 1383.97)","(1996.64, 1437.1)","(1961.23, 1437.04)","(2037.68, 1383.86)","(2078.96, 1437.12)","(2014.35, 1437.08)","(2008.47, 1507.89)","(2002.67, 1507.91)","(2043.79, 1613.82)","(2137.85, 1619.75)","(2026.02, 1513.63)","(1955.33, 1596.2)","(1949.17, 1713.66)","(1990.5, 1325.2)","(1996.51, 1319.5)","(nan, nan)","(2008.45, 1336.74)","(1908.12, 1719.64)","(1920.05, 1720)","(1949.5, 1719.62)","(2155.55, 1660.95)","(2143.88, 1654.95)","(2143.91, 1602.13)"
"(1955.61, 1336.83)","(1996.75, 1383.96)","(1984.69, 1383.99)","(1996.28, 1437.14)","(1949.64, 1443.07)","(2008.31, 1384.11)","(2043.83, 1443.02)","(1990.51, 1437.47)","(1996.81, 1519.4)","(1996.71, 1513.81)","(2008.39, 1619.74)","(2090.78, 1660.83)","(2002.28, 1519.49)","(1949.42, 1602.01)","(1937.75, 1714.01)","(1955.63, 1331.23)","(1967.24, 1330.95)","(nan, nan)","(1996.79, 1336.88)","(1896.53, 1719.99)","(1908.22, 1731.54)","(1949.21, 1720.03)","(2090.89, 1708)","(2090.73, 1690.36)","(2114.3, 1637.51)"
