time,pelvis_tilt,pelvis_list,pelvis_rotation,pelvis_tx,pelvis_ty,pelvis_tz,hip_flexion_r,hip_adduction_r,hip_rotation_r,knee_angle_r,ankle_angle_r,subtalar_angle_r,mtp_angle_r,hip_flexion_l,hip_adduction_l,hip_rotation_l,knee_angle_l,ankle_angle_l,subtalar_angle_l,mtp_angle_l,lumbar_extension,lumbar_bending,lumbar_rotation,arm_flex_r,arm_add_r,arm_rot_r,elbow_flex_r,pro_sup_r,arm_flex_l,arm_add_l,arm_rot_l,elbow_flex_l,pro_sup_l
6.0,-17.36407717445467,-18.33125216736901,14.580291712681559,-2.0783846805993758,1.0254661999957575,0.06931509846793252,18.315013002684356,-1.5502339350496304,-28.383855674780744,1.604738001658658,-7.654594111015783,4.923021995403386,0.0,34.793828659750616,-20.61985742382587,4.375878905098773,23.637408269093424,-8.287346265925612,-18.93364672769347,0.0,-1.647026539997533,-19.174079362837688,13.48407315529612,-114.4647341356785,-170.5844025710791,197.34328442877936,39.147290797734684,94.12750938547309,-529.9989921726664,-150.6154111540267,-180.05775472192434,35.6345727445478,80.5805844118876
6.0166667,-16.395861819166235,-17.427222490493865,13.807701238526514,-2.0685073928911346,1.02501103065236,0.07785389422814151,18.824241162114127,-0.7033445770453916,-28.23760738620265,1.5189136141732102,-7.697448775564383,5.1024153749203895,0.0,32.374781041245605,-21.234318361184386,3.7059116526272864,23.282103631008162,-8.128236284894495,-18.857203981280733,0.0,-1.7943122519830121,-18.363168873098566,12.419624768938334,-112.09139229693568,-169.38012546960064,198.15963936610365,40.687204808593286,94.96500572966087,-529.3875228341939,-150.02679886754225,-183.12893657573426,37.61452090983307,80.78309074528045
6.0333333,-15.55201745242694,-16.573546688168598,13.120339866216513,-2.0589059073136977,1.0233944405198734,0.08647429207358981,19.332163743187444,0.037956932878859845,-28.046542969259082,1.6837741832863165,-7.763598481024588,5.033361459146285,0.0,30.14061180521968,-21.75115211239972,3.1516288368579812,23.006460846703888,-7.9143100501932,-19.02407403046772,0.0,-1.786968018720516,-17.468795040403297,11.686899221306424,-109.86820676711906,-167.53170222830525,199.29548582790963,42.31803242900255,96.02385711136088,-528.6552015722559,-149.4585016932198,-185.8732970077427,40.22054295195753,81.57476693683553
6.05,-14.774624735056257,-15.774404530117385,12.6161789008721,-2.0501963800991305,1.0215080957072638,0.09495346656363492,19.788713428547364,0.6554055137155046,-27.82540276820971,2.0905195761176807,-7.7414591887670765,4.600059732818093,0.0,28.17028869287525,-22.12819782379564,2.8440684943275465,22.875995292091883,-7.794358400819468,-19.45302356253897,0.0,-1.7425722421254246,-16.47644331988042,11.226523190782837,-107.93628789256405,-165.11629978928624,200.56971245609182,44.31257788046731,97.24643699292088,-527.5800820917912,-149.01290058291056,-188.04122661463106,43.33156209755904,83.04888365260032
6.0666667,-14.02710591157386,-15.012631774079919,12.245831818221738,-2.042284479768684,1.0202357576953218,0.10324572231473475,20.12052246710981,1.1656781334035966,-27.637709855788607,2.6803987417384008,-7.56037448900992,3.750964235941084,0.0,26.44469009097497,-22.38062224939951,2.8105594860581427,22.92545826944845,-7.8266630544544915,-20.072439243583116,0.0,-1.707627952611066,-15.428281137635553,10.967937009632255,-106.5128846159273,-162.4853314781109,201.71344074743178,46.90057302399358,98.55502603446787,-526.156696639077,-148.69569138648492,-189.6170511507815,46.800792593156146,85.13825288234173
6.0833333,-13.285906575141976,-14.273751045029387,11.870334306683784,-2.0346923568258237,1.020131320596071,0.1114438896499092,20.23271086412837,1.612908242532208,-27.51270620438714,3.385981738245184,-7.179928220158854,2.517570000270608,0.0,24.838349635414627,-22.570023489234515,2.9838940452385994,23.12829915680056,-7.940273169710516,-20.73611538213139,0.0,-1.6598643985648385,-14.38140807363772,10.835620221996427,-105.76469643825632,-160.1179814403216,202.42595637551312,49.971003794368094,99.84702904158779,-524.5254414754994,-148.42017401211308,-190.70548204780485,50.362851432329265,87.61362860762243
6.1,-12.52258507650482,-13.557762407127091,11.370965792685325,-2.027060864982679,1.0212138392543468,0.11965596696120562,20.02609190953626,2.039894974099241,-27.393515833436016,4.149927486883756,-6.5806160394564825,1.0280942646802678,0.0,23.17253860917516,-22.766205638120702,3.262730181275745,23.402662326928596,-7.972871916465021,-21.27115243945743,0.0,-1.5587860907154583,-13.355500018567206,10.745096244313215,-105.68098228424377,-158.4053253830331,202.48350496429967,53.05177409967606,101.02131775968941,-522.8418054408972,-148.10700510238146,-191.48722196799116,53.622446347640924,90.13458351533771
6.1166667,-11.710522303994301,-12.880938672515184,10.726647551976868,-2.019406072737154,1.0229708496731331,0.12794272032563492,19.44053511046912,2.4715605006381915,-27.148880778587905,4.910235881370271,-5.748520389495087,-0.510594122244178,0.0,21.322366471245747,-23.014654090277226,3.5768533846251005,23.65538646500638,-7.7671389067170145,-21.548091719055034,0.0,-1.3754415632846841,-12.313898631944188,10.618564596025587,-106.09078502254341,-157.45217958710933,201.8261547713804,55.63059763479602,102.03220719692561,-521.1839003871654,-147.77296890451197,-192.17618179171035,56.199907351279954,92.38782047116786
6.1333333,-10.85679584380555,-12.271542200567712,10.01552332921606,-2.012053461729742,1.0245532508168875,0.1363471059886277,18.505783920989362,2.919905399931637,-26.64409977344036,5.584806473840287,-4.671368636010694,-1.8839018386086936,0.0,19.31571816403194,-23.328946958928412,3.9070653900667107,23.82941413768751,-7.274385660045521,-21.54425102066555,0.0,-1.0885688126894404,-11.199012267790922,10.411427233064241,-106.79802281751068,-157.0090742238281,200.58206783922503,57.534294135013276,102.93086758882649,-519.5327477078379,-147.5090634944645,-192.8954828430143,57.92408596152162,94.26468419829665
6.15,-10.018977075126928,-11.759454667082862,9.358339678506905,-2.005398514470522,1.0251211528762172,0.14490070703404062,17.355590904200813,3.39276252249825,-25.83226337225465,6.092382632759203,-3.361853488551072,-2.958670732952395,0.0,17.34583147381081,-23.703231303776104,4.250946729275227,23.92813445910151,-6.601624318928325,-21.367602079527373,0.0,-0.6883756977214047,-9.989692156457506,10.117609525266388,-107.67425557769371,-156.6059836403786,199.03669199751178,58.98223727161639,103.81576989360222,-517.8053332595459,-147.37364161679858,-193.5395974214586,58.8957628920715,95.87912348393755
