time,pelvis_tilt,pelvis_list,pelvis_rotation,pelvis_tx,pelvis_ty,pelvis_tz,hip_flexion_r,hip_adduction_r,hip_rotation_r,knee_angle_r,ankle_angle_r,subtalar_angle_r,mtp_angle_r,hip_flexion_l,hip_adduction_l,hip_rotation_l,knee_angle_l,ankle_angle_l,subtalar_angle_l,mtp_angle_l,lumbar_extension,lumbar_bending,lumbar_rotation,arm_flex_r,arm_add_r,arm_rot_r,elbow_flex_r,pro_sup_r,arm_flex_l,arm_add_l,arm_rot_l,elbow_flex_l,pro_sup_l
4.3166667,1076.6290797298268,2581.547780945089,-800.8831193039849,4.521762863488775,3.194450416730597,3.051787879558685,-7572.864369941766,-867.6849240075628,2893.2460062383934,4439.55588957973,3046.9792333154046,85.7184550647945,0.0,5478.283859878099,3643.6824787423243,2596.5352004878496,3962.619028601337,2378.216183666596,-4157.438632359005,0.0,-539.3283608921089,-3193.9098904868233,-1671.4293635117701,1033.8024120367415,5116.814710947385,943.2646412632486,857.2086591146442,1245.947567619353,-253.39776733604634,-4161.761628887905,-2140.4036315664557,-9594.986812167892,2189.046520988788
4.3333333,347.5627855040912,1681.2228882559011,-1483.6671897535402,-6.802894499235601,-4.862901449232952,2.689567957204713,-2900.8498223220035,146.87244034220024,2403.321908021386,11122.01061030577,4757.4962776125685,-5194.290879249702,0.0,5934.278726979742,2872.1605493608117,2200.942482098761,1992.1046136816701,7531.51419042661,-3715.20945420585,0.0,-566.5386694768353,-1918.6718091937698,1217.0702500832112,-305.3970086222774,3020.0721090002144,-2742.2995368229163,1489.2469897702952,890.7344344395624,591.8386542556619,-2184.4434486340692,-5727.471791915935,-11085.804375352182,291.7165047798651
4.35,-555.3599272145688,754.3495864583177,-1837.1828508300252,-17.550799520268168,-17.5091113736364,3.0991774838989063,2773.296900624666,507.89363920970123,1471.5646434938253,16299.084355246458,4993.8955719694695,-8584.332628475939,0.0,6632.961567358632,1806.3957878934523,1510.3142319070485,180.3122081793803,9950.19129800535,-3120.561014851071,0.0,-973.9777984547461,-965.4829495737315,3699.5119530451443,-629.3483793375275,-404.0172356801889,-4987.663989572956,1117.8917483241112,54.03276227120845,1476.3562400560356,-936.8939979817621,-5860.510169925509,-7591.070387633995,-1441.3384010782602
4.3666667,-548.9080216206829,109.6332669333345,-2171.5865086933727,-19.742442841472197,-26.048784627298115,3.584825612352434,6510.5736541286215,402.40289587711885,784.8620247703317,17842.85009704205,3757.2809653762993,-8595.437101991514,0.0,5684.238499786122,770.0259220845667,741.9834225342897,-2216.064384216614,9358.109134337396,-2406.880983769355,0.0,-2263.9672948123057,-469.2948416276018,3460.1204710315387,2153.9116369697904,-2014.745543234303,-2605.0872345932003,-487.35813989252495,-490.176954871619,252.93449162600484,-1348.380065674602,-7188.798822385612,77.54186765008558,-1311.173112343482
4.3833333,460.8018312976941,-197.88990288965493,-2549.208433192492,-10.86559627757765,-23.488810660213105,2.539897770198419,6626.8047601468115,28.8576624104269,672.9951081529392,15138.510634504439,1470.4523707657645,-6360.533415688017,0.0,2637.893615766889,-32.89087946415752,151.52528726360825,-5801.858568367731,6624.230795772783,-1768.1213837260582,0.0,-3595.0243371357033,-86.470236072383,64.17556739830094,7314.811622369345,87.51848623218203,4507.765511265082,-2951.8545650964743,61.40605856904611,-3849.733000500398,-2502.600209357796,-12190.396887150651,8055.80430295811,782.8692251907679
4.4,1367.2759271184646,-210.49816451787194,-2526.832000556797,3.0306652430846035,-11.986676446716444,-0.4057806477206768,3865.850750953107,-611.838938820357,917.470033656918,9792.732953243085,-469.09551902279645,-3818.5567837075264,0.0,-1029.5170982489826,-542.4034841569155,130.47988534410533,-10499.408167082049,2392.8351547514885,-1346.2664448036328,0.0,-3339.7104598074457,333.7390605486563,-3643.831577500962,10247.286375553998,3552.2911247414077,10764.509658375593,-4755.44676292164,1372.7473641502795,-7382.643011493855,-2758.623059709462,-15856.929999800968,10954.864671948499,2197.24409185128
4.4166667,801.2261220734797,-93.65118482227183,-1609.0836975327281,11.236197509423347,-0.28138512452672293,-3.574938116283295,572.189637100183,-1282.365229424189,1081.9990700652827,4165.930395170581,-433.7654882637082,-1650.7494864675214,0.0,-3392.687413560862,-1057.5296549575828,848.8828751179614,-15339.39014286688,-3470.9600535349814,-670.8143449220528,0.0,-672.4017574852179,698.6735837862385,-3778.2949028844223,6384.864200435868,3557.8872157379315,9234.665033410902,-4118.644669804826,1958.6947952951948,-5462.668579349796,-1432.7551278011902,-10910.977125841338,6005.1944971071935,369.51140167930424
4.4333333,-1381.1050216620906,-234.23183594514197,26.835947537770846,8.004717038370984,6.425166420302147,-4.637095160613292,-1673.4724076046016,-1257.5446621683352,1035.946238804666,-894.5808367787532,1548.2544082491877,696.1296523777162,0.0,-4095.011149285938,-2158.0929503187917,1706.3079096517713,-18509.88580652718,-10367.618671950562,928.7665492626426,0.0,3084.579385024423,1216.2272159525312,-360.6917526810181,-2583.623461627345,-685.0337791758986,335.56529729074407,-1152.1320602299838,860.9591962189692,1218.0262734341602,540.2095708744589,1045.8730225311356,-2911.1281782690676,-3473.279595108863
4.45,-3547.655295437267,-879.9394486156529,1484.345599240365,-1.7196767900573122,10.393745276366756,-2.765005359315653,-3234.0919018529917,-165.3874957602361,1031.7181163603245,-6018.141663261354,2982.4118404363676,3328.4968848984436,0.0,-4577.001667305611,-3830.8591407878007,1470.5214613371122,-17831.478845369304,-15240.5355975922,2994.4645531201263,0.0,5109.318420347051,2054.4493202428075,2393.5889901276873,-9526.58028042985,-4321.925813876238,-7817.175045188627,1915.948745286997,-958.1021425586582,6108.846410258714,1704.986380384188,9542.63901475799,-8009.009714986464,-5546.5431273715085
4.4666667,-3713.520032485469,-1519.3081496509074,2011.7093487754241,-7.324720291428456,14.779896526408573,0.4732832029531847,-4834.667256542785,996.3433620642504,1249.821425903367,-10895.933945851473,1183.9779740356212,5276.869554293648,0.0,-5991.551256645535,-4687.374110340004,-581.7018076910088,-11930.413827438846,-13871.944242032678,4232.074808074725,0.0,3822.968130107142,2332.195744573901,2042.61325975581,-10357.275618676664,-3893.3130031216847,-9608.842012214642,3524.9375306484512,-1816.2051115744114,5436.190870798568,1718.7682604396084,8614.020784195149,-5794.975150622334,-4248.174872915786
4.4833333,-1581.0984859185974,-1095.9040767208362,1808.06738187218,-2.9487886497890576,17.643922589221937,2.3462167111804955,-5739.6374446698055,469.12206398991674,1289.8121926846216,-13219.745878904941,-2952.4594056498995,6157.225877994677,0.0,-7451.525937349348,-2856.148003231348,-3594.2087188773326,-1656.979772795087,-5105.730009543286,4420.517190029937,0.0,632.5838112516191,735.9429186855829,448.9238010707201,-7600.975705322011,-1530.6635706471563,-7292.446232633699,4212.44188692524,-1419.7249049760828,1997.0254823138819,1752.6259611518894,3004.404282893138,529.2948796473893,-1428.167450626046
4.5,1190.6076265551098,774.4907797970844,1652.1664302714069,7.616301389992906,14.950361044107662,1.4332834497957165,-4607.934077654649,-2274.3394202258837,440.77856941562703,-11018.076055225749,-5095.423525824499,7122.61031234039,0.0,-7055.484111856998,1782.2387395399053,-5647.838086891148,9561.893414599755,6636.310647335826,4434.840282837739,0.0,-1628.0771145530157,-2494.6362840210736,-536.2059511482565,-4937.040929122653,-220.706000431342,-5043.438885169588,4542.783905042821,-659.5222993979568,-983.135288575129,3471.5034569911354,-896.6832982095631,6539.435702145019,449.8489454061305
